WKT,id,sname
POINT (13.7843999922149 47.8395000132296),246,
POINT (13.7856000131973 47.8428999970508),247,Traunkirchen
POINT (16.4325000014702 47.8408000039637),248,
POINT (16.3809999986159 47.8669000140762),249,Neufeld an der Leitha
POINT (16.3674000063359 47.8776000074865),250,
POINT (15.2986000041848 47.8417000109741),251,
POINT (15.3011999856529 47.8464999901866),252,
POINT (13.7836999945192 47.8446000064142),253,
POINT (13.7751000128561 47.8509999903329),254,
POINT (14.1566000136174 47.8449999901379),255,
POINT (14.1515999901845 47.8483000042074),256,
POINT (16.2409999836123 47.8450999947952),257,
POINT (16.2442999962928 47.8607999875216),258,Theresienfeld
POINT (16.2478999908177 47.8813000052797),259,
POINT (15.3016000042823 47.8492000112178),260,
POINT (15.3071999957142 47.8546999807272),261,Wienerbruck-Josefsberg
POINT (14.6332000104877 47.8493999856268),262,
POINT (14.6130000009912 47.8558000128264),263,Küpfern
POINT (14.5540999869307 47.8802999953202),264,Großraming
POINT (14.5493000124156 47.881400009937),265,
POINT (15.563300010459 47.8501999879798),266,Markt Sankt Aegyd am Neuwalde
POINT (15.6016000140305 47.8704999909665),267,
POINT (15.5806000014324 47.8572999997335),268,Sankt Aegyd Eisenwerk
POINT (15.5987999975765 47.8675000020823),269,Amt Mitterbach
POINT (15.6018999930969 47.8710000142532),270,
POINT (14.1484999854296 47.8503999972945),271,Schön
POINT (14.1064000143132 47.9188000064982),272,
POINT (14.1258000021459 47.8834000116),273,Micheldorf
POINT (14.1163999946744 47.9050999813144),274,Kirchdorf an der Krems
POINT (14.1059999956839 47.919999992575),275,
POINT (15.0193999858043 47.8505000019518),276,
POINT (15.0236000068841 47.8590999836149),277,Lunz am See
POINT (13.7754999965798 47.8524999903816),278,
POINT (13.7759000152091 47.8532999927346),279,
POINT (13.9533000046843 47.8528000043536),280,Grünau im Almtal
POINT (13.937600006648 47.8761000051611),281,Traxenbichl
POINT (13.9406999877828 47.8863999848346),282,Kothmühle
POINT (13.9586000091892 47.9000000042479),283,Scharnstein-Mühldorf
POINT (13.9713000010707 47.9155999802928),284,Viechtwang
POINT (13.9924000153455 47.9312000107435),285,Steinbachbrücke
POINT (13.9969000107551 47.9401999909043),286,
POINT (14.6387999920534 47.853700011364),287,
POINT (14.6406000060741 47.8543000044023),288,
POINT (16.1917999959759 47.8538000160213),289,
POINT (16.1910999982802 47.8591999882723),290,
POINT (14.6541000065128 47.8539999904303),291,
POINT (14.6674000114725 47.8615000015969),292,Weyer
POINT (16.8220999858343 47.9552999928226),293,Neusiedl am See
POINT (14.6744000094994 47.8693000048898),294,
POINT (14.6438000154862 47.854199999745),295,
POINT (14.6510000017579 47.854199999745),296,
POINT (13.7766000129048 47.8550000020981),297,
POINT (13.7781999827052 47.8613999860167),298,
POINT (16.3108999928648 47.8554999904791),299,
POINT (16.322199992425 47.8607999915084),300,Untereggendorf
POINT (16.3405000101159 47.8715000026342),301,
POINT (16.1823000073024 47.8589000092059),302,Wöllersdorf
POINT (16.1781999908799 47.860500013912),303,
POINT (13.7754999965798 47.8628999860655),304,
POINT (13.7579999925807 47.8908999822009),305,Altmünster am Traunsee
POINT (13.7544999958974 47.8993000058646),306,
POINT (16.1628000066688 47.8643999861142),307,
POINT (16.132700010917 47.8755000148698),308,Piesting
POINT (16.0647000065577 47.8694000070206),309,Waldegg
POINT (16.0591999986483 47.8677000001837),310,
POINT (16.0823999862378 47.8710000142532),311,Wopfing
POINT (16.1146999923996 47.8710000119525),312,Dreistetten
POINT (16.0996999837389 47.873200008928),313,Ober Piesting
POINT (16.0531999984533 47.8662000001349),314,
POINT (16.0297000070465 47.8776000004892),315,Oed
POINT (15.912099991539 47.8758999996729),316,Gutenstein
POINT (16.0156999946388 47.8758999980565),317,Miesenbach-Waidmannsfeld
POINT (15.9855999893002 47.8898999885182),318,Ortmann
POINT (15.9712000122564 47.8947999971313),319,Wipfelhofstraße
POINT (15.9582999849271 47.895000006557),320,Pernitz-Muggendorf
POINT (14.6758000048908 47.8710000142532),321,
POINT (14.6885000029765 47.8883999868941),322,
POINT (15.3011999856529 47.8715000026342),323,
POINT (15.2819999934301 47.8874000181647),324,Gösing
POINT (15.2808999826663 47.8903000055721),325,
POINT (15.6013000000585 47.8733999864066),326,
POINT (15.6144999835977 47.8936999886615),327,In der Bruck
POINT (15.6215000041592 47.9107000074449),328,Hohenberg
POINT (15.6100000028421 47.9236999776682),329,Furthof
POINT (15.5872999945369 47.9558000036063),330,Innerfahrafeld
POINT (15.5755999960023 47.9719999970034),331,Freiland
POINT (15.5723000107514 47.9769999944271),332,
POINT (16.348600003398 47.8740000143507),333,
POINT (16.3618999951651 47.8764999912901),334,Ebenfurth
POINT (16.3745999926076 47.8845999844435),335,
POINT (14.5466999960418 47.880600007584),336,
POINT (14.5389000167317 47.8822000122901),337,
POINT (14.5376999957493 47.8821000076327),338,
POINT (14.5110000134315 47.8931999964248),339,Kraftwerk Großraming
POINT (14.4722000081712 47.8897000125338),340,Reichraming
POINT (14.4524000022857 47.8987999825779),341,Rohrbachgraben
POINT (16.247500007094 47.8877999938557),342,Felixdorf
POINT (16.2434999953288 47.8993000058646),343,
POINT (13.1198000008708 47.8896000078764),344,
POINT (13.1313999979401 47.8991000049001),345,Seekirchen am Wallersee
POINT (13.1585999826895 47.9172999946265),346,Wallersee
POINT (14.6917000123886 47.8907999939532),347,
POINT (14.7022999824815 47.8932000010123),348,
POINT (14.7157999829202 47.8920000149355),349,
POINT (14.7070999965997 47.8926000079739),350,
POINT (14.7210999854194 47.8920999846872),351,
POINT (14.7237999905412 47.8929999863945),352,Gaflenz
POINT (14.7487999938399 47.903499995774),353,Oberland
POINT (14.7722999963913 47.9101999899295),354,
POINT (16.3875 47.8978000058158),355,
POINT (16.3959000055189 47.9039000095351),356,Pottendorf-Landegg
POINT (16.2595999973907 47.9099999983115),357,Sollenau
POINT (16.2907999891696 47.9422000063526),358,Teesdorf
POINT (16.3066000025145 47.9545999987671),359,Tattendorf
POINT (16.3279999990422 47.9738000010109),360,Ober Waltersdorf
POINT (16.3309000179292 47.9912999935003),361,Trumau
POINT (16.3188000117378 48.0012000045216),362,
POINT (16.218699989965 47.9190999858125),363,Wittmannsdorf
POINT (16.2114000012668 47.919999992575),364,
POINT (14.4482000161115 47.8995000151793),365,
POINT (14.4326999890243 47.9225000065763),366,Losenstein
POINT (14.3547999934148 47.9296999918409),367,Trattenbach
POINT (14.3546999821427 47.9479999897995),368,Ternberg
POINT (14.3553999874986 47.9522999959516),369,
POINT (13.7569000029565 47.9010999849797),370,
POINT (13.7818000049312 47.9259999877474),371,Gmunden
POINT (13.7742000058457 47.9303999882588),372,
POINT (14.8370000078019 47.9038000060108),373,
POINT (14.8325000016428 47.9252999980808),374,Gaissulz
POINT (14.8325000076556 47.9410999979147),375,Schütt
POINT (14.8584999968653 47.9419000002677),376,Ederlehen
POINT (15.2944999877623 47.9080999968424),377,
POINT (15.290499999162 47.9290999981118),378,Puchenstuben
POINT (15.2762000045939 47.9505000027686),379,Winterbach
POINT (15.2963000032592 47.9358999977914),380,Unter Buchberg
POINT (15.2876000173437 47.9505999890338),381,Laubenbachmühle
POINT (16.007899984623 48.0089999816109),382,Altenmarkt an der Triesting
POINT (15.9700000019516 48.0156000121468),383,Altenmarkt-Thenneberg
POINT (15.9608999931271 48.0169000027048),384,
POINT (13.1597000091485 47.9212000135573),385,
POINT (13.1712999909091 47.9322000022796),386,
POINT (15.2939999993812 47.961600010216),387,
POINT (14.7734000127164 47.9125999969886),388,
POINT (14.7685999985981 47.9292000021821),389,
POINT (13.5323000142747 47.9138999877227),390,Attersee
POINT (13.512799999804 47.922300002524),391,Palmsdorf
POINT (13.5082000088375 47.9241000089975),392,Stöttham
POINT (13.8038999928485 47.915100008705),393,Gmunden Seebahnhof
POINT (13.8090999906904 47.9152999831141),394,
POINT (13.8111000140259 47.915100008705),395,Gmunden-Traundorf
POINT (13.8074000162327 47.9176999901732),396,
POINT (13.8194000166226 47.921900011253),397,
POINT (13.8188999933359 47.9235000159591),398,Engelhof Lokalbahn
POINT (16.2058999894529 47.9178999994879),399,
POINT (16.1930000018422 47.9204000081809),400,Enzesfeld-Lindabrunn
POINT (16.1775000037098 47.926899993886),401,Hirtenberg
POINT (16.1434999983981 47.9340000262716),402,Sankt Veit an der Triesting
POINT (16.1292000044103 47.9393999870098),403,Berndorf Fabrik
POINT (16.1096000002352 47.9421000170049),404,Berndorf Stadt
POINT (16.0911999874644 47.9581999925822),405,Pottenstein an der Triesting
POINT (16.0574999955236 47.9777999917412),406,Fahrafeld
POINT (16.0348000021309 47.9825000089107),407,Weißenbach-Neuhaus
POINT (16.0221999874198 47.9996000126872),408,Taßhof
POINT (16.4192000103462 47.9340000163003),409,
POINT (14.1069000026942 47.9234000113018),410,
POINT (14.1177000201646 47.9380000068416),411,Schlierbach
POINT (14.1223999917224 47.9880999847721),412,Wartberg an der Krems
POINT (14.1196000026877 48.0258999883714),413,Krift
POINT (14.1335999895996 48.0492000060814),414,
POINT (13.8052999882399 47.9998000091302),415,
POINT (13.8786999859709 47.9490999865394),416,
POINT (13.841000008515 47.927700002063),417,Unterm Wald
POINT (13.8461000112014 47.9317999951606),418,Gschwandt-Rabersberg
POINT (13.8499999878862 47.9365999775467),419,Gschwandt-Schule
POINT (13.8597999982754 47.9396999970666),420,Neuhub
POINT (13.8792000092576 47.9503000075218),421,
POINT (16.4145000008853 47.9242999834065),422,
POINT (16.416599986239 47.9286999975976),423,Wampersdorf
POINT (13.5039999877576 47.9259999927699),424,
POINT (13.5022000037994 47.9267999993607),425,Thern
POINT (13.4939000128952 47.9336999984755),426,Seniorenheim
POINT (15.4973000083143 47.928099985857),427,Türnitz
POINT (15.5684000036435 47.9708999895748),428,
POINT (15.5413000076043 47.9490999992001),429,Moosbach
POINT (15.550700018378 47.9557999845648),430,Lehenrotte
POINT (15.5686999827099 47.9736000106059),431,
POINT (13.7716999941292 47.9303999882588),432,
POINT (13.766200017221 47.933299983699),433,Pinsdorf
POINT (14.7660999868817 47.9327999953179),434,
POINT (14.7670999985494 47.9350999977197),435,
POINT (16.9131000101057 48.1334999920902),436,Bad Deutsch Altenburg
POINT (16.9131000101057 48.1343999948876),437,
POINT (16.3864999882868 48.0321000037946),438,Münchendorf
POINT (16.388799990742 48.0692999997534),439,
POINT (16.4324999890203 47.9547999971988),440,Unter Waltersdorf
POINT (16.4755999966019 47.9944000130865),441,Mitterndorf-Moosbrunn
POINT (16.50009998933 48.0176999905356),442,Reisenberg-Marienthal
POINT (16.4967999942514 48.0329000148599),443,
POINT (13.1734999886535 47.9345000046813),444,
POINT (13.1748999825451 47.9360000031231),445,Weng
POINT (13.216199987714 47.9498999888924),446,
POINT (13.4917000083013 47.934899988405),447,
POINT (13.4876000138104 47.937000005432),448,Sankt Georgen im Attergau
